country,city
 Afghanistan,Kabul
 Albania,Lezha
 Albania,Koplik
 Albania,Fier
 Albania,Durrës
 Albania,Shkodër
 Albania,Vlorë
 Albania,Tirana
 Albania,Orikum
 Albania,Golem
 Albania,Himara
 Albania,Elbasan
 Albania,Saranda
 Albania,Korça
 Albania,Kavaja
 Albania,Gjirokastra
 Albania,Pogradec
 Albania,Berat
 Algeria,Tizi Ouzou
 Algeria,Oran
 Algeria,Skikda
 Algeria,Khenchela
 Algeria,Annaba
 Algeria,Chlef
 Algeria,Hussein Dey
 Algeria,Tichy
 Algeria,El Mouradia
 Algeria,Mostaganem
 Algeria,Aïn Madhi
 Algeria,Adrar
 Algeria,Blida
 Algeria,Bou-Saâda
 Algeria,Bir El Djir
 Algeria,Tlemcen
 Algeria,M'Chedallah
 Algeria,Oued Sly
 Algeria,El Oued
 Algeria,Kouba
 Algeria,Bab Ezzouar
 Algeria,Dellys
 Algeria,Algiers
 Algeria,Batna
 Algeria,Taghit
 Algeria,Beni Saf
 Algeria,Chorfa
 Algeria,Béjaïa
 Algeria,Constantine
 Algeria,Setif
 Algeria,Ighil Ali
 Algeria,Bouderbala
 Algeria,Ghardaïa
 Algeria,Sidi Bel Abbes
 Algeria,Ben Aknoun
 Algeria,El Menia
 American Samoa,Pago Pago
 Andorra,Les Escaldes
 Andorra,Encamp
 Andorra,El Tarter
 Andorra,La Massana
 Andorra,Soldeu
 Andorra,El Serrat
 Andorra,Pas de la Casa
 Andorra,Andorra la Vella
 Andorra,Canillo
 Andorra,Sant Julià de Lòria
 Andorra,Sispony
 Andorra,Arinsal
 Andorra,Ordino
 Angola,Uíge
 Angola,Huambo
 Angola,Luanda
 Antigua and Barbuda,Bolans
 Antigua and Barbuda,Long Bay
 Antigua and Barbuda,Dickenson Bay
 Antigua and Barbuda,St. John´s
 Antigua and Barbuda,Willikies
 Antigua and Barbuda,St. Philips
 Antigua and Barbuda,English Harbour Town
 Antigua and Barbuda,Old Road
 Argentina,Río Turbio
 Argentina,San Antonio De Arredondo
 Argentina,San Pedro de Jujuy
 Argentina,Posadas
 Argentina,Claromecó
 Argentina,Potrero de Garay
 Argentina,Ascochinga
 Argentina,Centenario
 Argentina,La Plata
 Argentina,San Clemente del Tuyú
 Argentina,Palpalá
 Argentina,San Luis City
 Argentina,Molinos
 Argentina,Villa Allende
 Argentina,Monte Grande
 Argentina,Capilla del Monte
 Argentina,Bella Vista
 Argentina,Villa Paranacito
 Argentina,Deán Funes
 Argentina,El Chaltén
 Argentina,San Bernardo del Tuyú
 Argentina,Acassuso
 Argentina,Monterrico
 Argentina,El Bolson
 Argentina,Ita-ibate
 Argentina,El Condor
 Argentina,Oberá
 Argentina,Choele Choel
 Argentina,San Antonio de los Cobres
 Argentina,Luján de Cuyo
 Argentina,Uribelarrea
 Argentina,Los Antiguos
 Argentina,Gaiman
 Argentina,Pigüé
 Argentina,Miramar 
 Argentina,Santa Fe City
 Argentina,Valeria del Mar
 Argentina,Barreal
 Argentina,Tilcara
 Argentina,La Falda
 Argentina,Santo Tome
 Argentina,Neuquén City
 Argentina,Quilmes
 Argentina,Potrero de los Funes
 Argentina,Gualeguaychú
 Argentina,Cortaderas
 Argentina,Chicoana
 Argentina,Los Hornillos
 Argentina,Pilar
 Argentina,Miramar
 Argentina,Cabalango
 Argentina,La Viña
 Argentina,Hipólito Yrigoyen
 Argentina,Villa Unión
 Argentina,Las Rabonas
 Argentina,Sarmiento
 Argentina,Trevelin
 Argentina,Tinogasta
 Argentina,Antofagasta de la Sierrra
 Argentina,Plottier
 Argentina,Santo Tomé
 Argentina,San Justo
 Argentina,San Martín de los Andes
 Argentina,Valle de Las Leñas
 Argentina,Gobernador Costa
 Argentina,Ushuaia
 Argentina,Merlo
 Argentina,General San Martin
 Argentina,Cariló
 Argentina,Paso de los Libres
 Argentina,Rivadavia
 Argentina,Tandil
 Argentina,Fiambalá
 Argentina,Chajarí
 Argentina,Río Colorado
 Argentina,Melincué
 Argentina,Valle Grande
 Argentina,El Calafate
 Argentina,Pinamar
 Argentina,Tres Arroyos
 Argentina,Reconquista
 Argentina,Cayastá
 Argentina,Piedra del Águila
 Argentina,Villa Rumipal
 Argentina,Cutral-Co
 Argentina,Huerta Grande
 Argentina,Rosario
 Argentina,Guaymallén
 Argentina,Esquina
 Argentina,El Durazno
 Argentina,Villa La Angostura
 Argentina,Olavarría
 Argentina,Cholila
 Argentina,Caleta Olivia
 Argentina,Capioví
 Argentina,Epuyen
 Argentina,Villa Dolores
 Argentina,Villa Gesell
 Argentina,Villa General Belgrano
 Argentina,Goya
 Argentina,San Rafael
 Argentina,Monte Caseros
 Argentina,Venado Tuerto
 Argentina,La Quiaca
 Argentina,Villa Nueva
 Argentina,Aguas Verdes
 Argentina,Carpintería
 Argentina,San Miguel de Tucumán
 Argentina,Rosario de La Frontera
 Argentina,Rodeo
 Argentina,Agua De Oro
 Argentina,Termas de Río Hondo
 Argentina,Casilda
 Argentina,Puerto San Julián
 Argentina,San Luis
 Argentina,Salsipuedes
 Argentina,San Vicente
 Argentina,Mar de las Pampas
 Argentina,Trancas
 Argentina,Mina Clavero
 Argentina,Puerto Madryn
 Argentina,Cafayate
 Argentina,Federación
 Argentina,Bialet Massé
 Argentina,Chos Malal
 Argentina,Carmen de Patagones
 Argentina,Sierra Grande
 Argentina,Los Molinos
 Argentina,Mar de Cobo
 Argentina,25 de mayo
 Argentina,General Acha
 Argentina,Martínez
 Argentina,Trenque Lauquen
 Argentina,Colón
 Argentina,Senillosa
 Argentina,General Pico
 Argentina,Pehuajó
 Argentina,Puerto Esperanza
 Argentina,Yacanto
 Argentina,Villa Berna
 Argentina,Esperanza
 Argentina,Aluminé
 Argentina,Tigre
 Argentina,Concepcion
 Argentina,Villa Del Dique
 Argentina,Villa San Agustín
 Argentina,Almafuerte
 Argentina,San Francisco del Monte de Oro
 Argentina,Villa Cura Brochero
 Argentina,Villa Sanagasta
 Argentina,Godoy Cruz
 Argentina,Puerto Pirámides
 Argentina,La Lucila del Mar
 Argentina,La Cumbre
 Argentina,Lago Puelo
 Argentina,Tupungato
 Argentina,Villa Traful
 Argentina,San Fernando del Valle de Catamarca
 Argentina,Copahue-Caviahue 
 Argentina,Cachi
 Argentina,Villa Elisa
 Argentina,Las Flores
 Argentina,Guernica 
 Argentina,Cañuelas
 Argentina,Mar del Tuyú
 Argentina,Rawson
 Argentina,Las Coloradas
 Argentina,Pergamino
 Argentina,Costa del Este
 Argentina,El Hoyo
 Argentina,Humahuaca
 Argentina,Nono
 Argentina,Formosa City
 Argentina,Cinco Saltos
 Argentina,Villa Giardino
 Argentina,Jardín América
 Argentina,Funes
 Argentina,Belén
 Argentina,Capilla del Señor
 Argentina,Profesor Salvador Mazza
 Argentina,Bovril
 Argentina,Las Toninas
 Argentina,Nueva Atlantis
 Argentina,Chilecito
 Argentina,La Cumbrecita
 Argentina,Mar Azul
 Argentina,Granadero Baigorria
 Argentina,Rosario del Tala
 Argentina,General Rodríguez
 Argentina,San Nicolás de los Arroyos
 Argentina,Balcarce 
 Argentina,Atos Pampa
 Argentina,La Punta
 Argentina,Sierra de los Padres
 Argentina,Amaicha del Valle
 Argentina,Olivos
 Argentina,Malargüe
 Argentina,Don Torcuato
 Argentina,Santiago del Estero
 Argentina,Villa Pehuenia
 Argentina,Rio Cuarto
